,start,end,length,delta_x,delta_y,angle,interval
0,299,373,74,-0.9593525879510025,-1.5148658155974744,57.654241762969605,299
1,399,746,347,-9.019769126552461,-1.5478826472794935,9.737676986873968,26
2,1833,2148,315,-11.315004210975715,-7.157892231042524,32.31751966375811,1087
3,2176,2375,199,-6.527976885364453,-2.3544480354178035,19.832873247013033,28
4,2701,2878,177,-11.49759718932421,-2.906712400411564,14.187696218584092,326
5,3111,3236,125,-6.109606736139199,-2.2705852343869566,20.38717035286557,233
6,3265,3454,189,-6.397910620468721,-4.284087844480055,33.80655450314031,29
7,3487,3660,173,-2.9004589381105603,-0.2868003391858167,5.647108097055831,33
8,4010,4118,108,-4.93130901528518,0.458559970750386,-5.312628318380868,350
9,4699,5038,339,-8.841383732524037,-3.9987166269486067,24.33594172554296,581
10,5244,5718,474,-13.810170152789823,-7.231494446955125,27.638147768532953,206
11,5762,5927,165,-3.4722527215878785,-3.0094495946274122,40.915927667908,44
12,7114,8277,1163,-11.403896052001798,-3.272582241969218,16.01191971426713,1187
13,8321,8409,88,-7.558848025450999,-1.4889460321232661,11.143488397849996,44
14,8445,8601,156,-6.229632191093856,0.7290400987125594,-6.674837294666331,36
15,9703,9956,253,-7.187909257182696,-6.518800367598033,42.20525879253557,1102
16,10167,10300,133,-7.235198534753934,-0.806571568627831,6.3610035008219645,211
17,10843,11594,751,-7.083960849000249,-1.0287884262354794,8.263173011744373,543
18,11686,12119,433,-6.754412410306003,-3.9948206244374234,30.60171103045701,92
19,12565,13108,543,-6.422760294696218,-2.648235354019363,22.40735493395715,446
20,13380,13754,374,-7.306598417301174,-0.42601619971648574,3.336891577207135,272
21,13810,14009,199,-2.3224641830259003,-1.496356594462739,32.7935599553442,56
22,14117,14565,448,-4.783703785413508,-1.7968073524680221,20.586684463511617,108
23,14609,15127,518,-6.396014910853793,-3.208188640714411,26.63796751054712,44
24,15189,16026,837,-5.9844454229160675,-0.7160302485045378,6.822922130731182,62
25,16392,16487,95,-4.758658870757898,3.165208152902153,-33.62974968701929,366
