,0,1
0,B,306.0
1,P,282.0
2,B,1844.0
3,P,1217.0
4,B,313.0
5,P,2124.0
6,C,1605.0
7,P,11282.0
8,C,5373.0
9,B,526.0
10,P,2181.0
11,C,170.0
12,P,2948.0
13,B,520.0
14,P,5329.0
15,C,7009.0
16,P,15997.0
17,B,5446.0
18,P,1701.0
19,B,630.0
20,P,19077.0
21,B,552.0
22,P,37909.0
23,C,7027.0
24,P,16204.0
25,C,10596.0
26,B,4099.0
27,P,5103.0
28,B,513.0
29,C,2978.0
30,B,1332.0
31,P,7773.0
32,B,376.0
33,P,3241.0
34,B,997.0
35,P,2543.0
36,B,972.0
37,C,7839.0
38,B,3303.0
39,P,803.0
40,B,376.0
41,C,11144.0
42,B,455.0
43,P,18277.0
44,B,4586.0
45,C,10018.0
46,B,5682.0
47,P,12699.0
48,B,2870.0
49,C,866.0
