,start,end,length,delta_x,delta_y,angle,interval
0,2076,2156,80,-11.733017562590845,-5.094811946163375,23.471865030535454,2076
1,2181,2272,91,-17.120896676903172,-1.0812017913023766,3.613487432890856,25
2,2291,2452,161,-24.594992721182862,-7.218425287940008,16.356524032560294,19
3,2493,2771,278,-41.16245951057343,-12.367428434633226,16.72310933811807,41
4,2785,2879,94,-12.237590186398336,-3.2226751113390293,14.753443575522518,14
5,2897,3004,107,-16.860041488537703,-7.365980525910743,23.600027160544645,18
6,3021,3091,70,-11.841407237004503,-4.2459085591571295,19.726032632388875,17
7,3107,3186,79,-12.158875712362416,-2.8058940477874614,12.994615237769493,16
8,3208,3258,50,-7.853843772882584,-3.557716430221788,24.370073614011844,22
9,3274,3315,41,-5.132386338243222,-1.1532088727551297,12.663614543419179,16
10,3339,3393,54,-8.696493829485789,-4.034507701470275,24.88769255320907,24
11,3549,3751,202,-26.646078025904075,-8.362497611871817,17.423733179550805,156
12,3792,3824,32,-11.032768840576495,-6.911728444721902,32.066020293083916,41
13,3841,3894,53,-11.857928483761484,-1.4383531621715377,6.916124660647676,17
14,3920,4009,89,-11.970633058815054,-3.2240328362335333,15.073709988854011,26
15,4021,4119,98,-13.661110450246753,-6.051006340660663,23.890307750259712,12
16,4133,4190,57,-7.9242147692439175,-3.95183345187273,26.50559209065029,14
17,4216,4290,74,-10.498109902789452,-3.0239992453450526,16.0691400500897,26
18,4308,4402,94,-15.160476398007276,-4.655652306294513,17.071273196763244,18
19,4420,4491,71,-11.65872942552646,-4.65007269116046,21.744536191227013,18
20,4511,4573,62,-9.984292735843141,-1.5677599328300431,8.923867634362944,20
21,4592,4663,71,-11.799107436521268,-1.823129087902899,8.783547081091568,19
22,4680,4753,73,-10.217940861561274,-1.8479974093283147,10.251589337976313,17
23,4775,4842,67,-11.123797716460757,-3.48210989866638,17.381814556133822,22
24,4860,4908,48,-8.052983155381384,-2.8070930649809895,19.2174328202475,18
25,4927,4977,50,-8.064021583014465,-5.075612506382612,32.18690829586938,19
26,4991,5018,27,-3.7551254127533014,-1.0728478118717248,15.944758805494576,14
27,5033,5095,62,-10.712960333983162,-6.271459384122096,30.34507407645246,15
28,5112,5183,71,-12.662587333820099,-2.714611071083894,12.099946201014802,17
29,5199,5258,59,-10.321064181133522,-2.666604459338245,14.486448519091862,16
30,5375,5413,38,-8.312011878276707,-5.754835834799437,34.696859306527855,117
31,5431,5476,45,-10.198292655156976,-4.64974499427754,24.509839493347386,18
32,5495,5569,74,-12.082913427599763,-3.612543313180666,16.645586218530813,19
33,5588,5676,88,-15.156787626499181,-2.9563974197850342,11.037209147950218,19
34,5694,5772,78,-14.556181941681771,-1.8751753995576195,7.340602725647566,18
35,5787,5873,86,-13.28236002898565,-3.679391985446898,15.483445685894091,15
36,5887,5927,40,-7.9595485247100015,1.9688543871081379,-13.893659594675007,14
37,5954,6000,46,-6.28850077580659,-2.0511072556100203,18.06466515752471,27
38,6025,6084,59,-8.017996639518287,-4.156605832501938,27.402653604813775,25
39,6103,6153,50,-5.4161409237336,-3.9142824374190894,35.8558993589968,19
40,6172,6209,37,-5.910199426526958,-3.2532423432232775,28.830384698404032,19
41,6227,6290,63,-8.361264064430117,-6.054938097812467,35.910755354508254,18
42,6309,6380,71,-8.820127731411809,-1.2878157300825706,8.306985455550214,19
43,6397,6441,44,-7.575817459918177,-3.9946670193371148,27.802317355477797,17
44,6464,6533,69,-10.35206779868976,-1.6684308409670336,9.155563402474057,23
45,6553,6624,71,-10.064986605121973,-0.26205950055535254,1.4914586976627455,20
46,6641,6707,66,-10.638506188482111,-0.2106620598125204,1.1344139374636641,17
47,6732,6786,54,-7.961420672746826,-3.562826282278735,24.10905871847155,25
48,6802,6914,112,-31.33342496273943,5.9642442774210735,-10.777191550583916,16
