,0,1
0,P,6802.0
1,C,643.0
2,P,2447.0
3,C,272.0
4,B,398.0
5,P,6298.0
6,B,306.0
7,P,3515.0
8,B,553.0
9,P,4531.0
10,B,1821.0
11,P,319.0
12,C,2085.0
13,B,1396.0
14,P,1444.0
15,B,420.0
16,P,14220.0
17,B,1738.0
18,P,1966.0
19,B,481.0
20,P,227.0
21,C,754.0
22,P,1722.0
23,C,2033.0
24,B,1700.0
25,P,437.0
26,C,1179.0
27,B,4506.0
28,P,942.0
29,C,4188.0
30,P,3336.0
31,B,450.0
32,P,2048.0
33,B,445.0
34,P,7739.0
35,B,485.0
36,C,4741.0
37,B,694.0
38,P,2948.0
39,C,2482.0
40,B,30359.0
41,C,4043.0
42,B,1576.0
43,P,637.0
44,C,1642.0
45,P,2303.0
46,B,667.0
47,P,4733.0
48,C,2507.0
49,P,2685.0
50,C,1916.0
51,B,352.0
52,C,5204.0
53,P,627.0
54,C,1509.0
55,P,2656.0
56,C,3625.0
57,P,292.0
58,C,6695.0
