,start,end,length,delta_x,delta_y,angle,interval
0,420,660,240,-10.784558877623397,-4.4399108164008965,22.376546794841538,420
1,699,910,211,-9.836957481050618,-0.8424671635993093,4.895041397913485,39
2,940,1433,493,-22.8816714764953,-0.3185664103323518,0.7976397903621436,30
3,1488,1839,351,-13.130324777992342,-1.4681989976380407,6.380163456131293,55
4,1889,2108,219,-7.799359653158334,-1.4973375134933065,10.867536691978149,50
5,2160,2443,283,-13.428050489062812,-3.080163173943859,12.91917112779974,52
6,2492,3516,1024,-23.862323748653424,1.152846462757708,-2.7659467662916084,49
7,4337,4687,350,-14.312953095230398,-3.0997692814118807,12.219882147049061,821
8,4726,4968,242,-16.347945812615635,-7.865651408230121,25.694070514836195,39
9,5005,5147,142,-14.815267325506241,-1.7113645880812385,6.589236671616828,37
10,5181,5228,47,-7.247893145195107,3.873078250846234,-28.118842843180506,34
11,5250,5365,115,-12.05501711503689,-0.7228609309142371,3.431546147506031,22
12,5392,5505,113,-12.028328191055422,7.037621141375865,-30.33135728986729,27
13,5534,5601,67,-9.505097032555241,0.4587328333280709,-2.763051991104562,29
14,5677,5849,172,-22.081402250160608,0.4662941581225084,-1.2097382573132704,76
15,5866,6076,210,-18.45651098164886,0.592669779124833,-1.839232364482342,17
16,6121,6228,107,-10.06366273181088,-1.084404051857291,6.15014310906628,45
17,6271,6933,662,-18.74410243072262,2.760935715056789,-8.379200391492567,43
18,7016,7943,927,-13.585090797586716,1.6183591300395221,-6.793492514021117,83
19,8179,9147,968,-11.362460683112417,-1.1213189206191743,5.636057847913918,236
20,9312,9485,173,-5.113299281311086,-8.221881128281652,58.12195946698507,165
21,9522,9679,157,-4.60789969983324,-6.6847712938339185,55.42099968336586,37
22,9722,9864,142,-7.038353343918871,-0.432173057523741,3.513697272178703,43
23,9911,11955,2044,-25.372419998105528,2.1183258956273505,-4.772516875384628,47
24,12087,14938,2851,-10.991506184687296,2.8957355929813104,-14.75932766444906,132
25,16107,20001,3894,-10.611841031082875,1.5181284788780545,-8.141484500215832,1169
26,20172,20526,354,-8.06925994016133,0.4835640425642822,-3.4294450830261494,171
27,20608,27007,6399,-9.834468059649424,0.8085546773134382,-4.700082304458512,82
28,27117,32809,5692,-5.491286103036984,2.0732037191218495,-20.683742810251506,110
29,33213,43353,10140,-8.224034789150735,1.3706282972773494,-9.462022814459147,404
30,44080,54378,10298,-10.571324160971102,2.2276761503964195,-11.899733988931068,727
31,56336,57666,1330,-7.446658065419527,-1.300328910218198,9.905070024272993,1958
32,57819,67521,9702,-6.621906031900679,1.3445186608756785,-11.477371121684401,153
33,67815,68410,595,-7.744217514220949,1.7006217218137323,-12.38549681767384,294
34,68609,70236,1627,-8.27268274614444,1.595477709580834,-10.916094452669647,199
35,70385,72908,2523,-4.5479169185930886,1.9914410237701503,-23.64764087282198,149
36,76822,78717,1895,-8.14318383271673,1.411287781480155,-9.832215445521578,3914
37,92011,95711,3700,-7.74246866435513,4.310404833328633,-29.105661199360345,13294
38,96049,98391,2342,-6.786533896763984,2.122991687028687,-17.37094306815515,338
39,100743,101334,591,-7.721197066927786,-0.9676676533263162,7.14341332038053,2352
40,101527,103914,2387,-11.368398251059276,-1.1884403904706602,5.967963414552754,193
41,104418,105351,933,-4.232894848885252,0.48980352863472376,-6.600546094912534,504
42,105484,107752,2268,-4.03421777240564,2.7220986278139208,-34.009607846335186,133
43,109233,115246,6013,-7.673142114624483,1.6876966340200994,-12.404607801600974,1481
44,115627,116104,477,-5.4221622917099666,-0.4414623163703624,4.654648279867629,381
45,116198,117192,994,-2.7751908906806904,3.2517678407301958,-49.52121038224008,94
46,117385,120230,2845,-7.755144585898549,1.2216433061211234,-8.952058421069442,193
47,120571,122729,2158,-4.965429164409571,-1.939012587604097,21.330770350791635,341
48,122888,126781,3893,-7.878520734395195,1.5416244400011863,-11.071426438520302,159
49,127042,127699,657,-5.409746810867375,0.754603760283274,-7.9409303283442965,261
50,127875,135327,7452,-6.39928191693609,-1.950657394866667,16.952501595205984,176
51,138059,143016,4957,-5.086587328297554,0.12456505408830765,-1.4028316457235877,2732
52,143386,147197,3811,-4.12957014734036,2.412821306565988,-30.29684897166475,370
53,147672,148177,505,-5.685153146376862,1.1919371909780807,-11.84100407142904,475
54,148295,153139,4844,-10.489448862874482,-2.696748247734959,14.418013586876569,118
55,169862,172541,2679,-2.7826409779484607,-0.10096782056609754,2.0780593654924515,16723
56,173755,179530,5775,-14.009204416331002,1.5707534816530426,-6.397453091850154,1214
57,179892,182911,3019,-8.602486624456716,-2.350220602178865,15.280457561884845,362
58,183205,187061,3856,-6.536401284276806,2.287059937544541,-19.284731902505687,294
59,187321,188435,1114,-9.414076451246586,-0.3169804600538839,1.928472096380613,260
60,188762,193045,4283,-7.176446097332956,4.461006681862841,-31.865820029407093,327
61,196407,201287,4880,-10.979030594441497,-1.7598732572303248,9.106703341233462,3362
62,201442,203971,2529,-4.306505826623564,2.2271248629733975,-27.34590645226689,155
63,204418,205954,1536,-6.297309749958586,3.561623723108582,-29.49157207894441,447
64,206260,209953,3693,-7.074851139847809,1.944298690578961,-15.366573067830064,306
65,210317,213426,3109,-4.591313216273534,0.8536276692240108,-10.532306749874202,364
66,215072,218945,3873,-5.993740717238765,0.19896884096779388,-1.9012984694738841,1646
67,227875,231028,3153,-4.679886013125639,-2.4685450295331606,27.8107384729252,8930
68,242648,245736,3088,-7.957530267270073,-1.2364805133630767,8.83227077355758,11620
69,245859,249104,3245,-4.235628674273983,0.5111028592733646,-6.880474270269158,123
