,start,end,length,delta_x,delta_y,original_angle,angle,interval
0,57,256,199,1.1189589602409455,-4.0889824588642085,-74.69556841665198,-69.40078064653967,57
1,276,603,327,-17.906404097935976,-11.3564463852032,32.38333788304429,26.219593540226565,20
2,630,1044,414,-20.320849153877802,-5.005044990046642,13.836599045253106,11.280185690886332,27
3,1068,3922,2854,-28.897325938960776,-3.7715214872154377,7.435901797012883,5.859861469556041,24
4,4362,10023,5661,-25.994416676485443,-3.27779513690966,7.1868449464356,10.662520601061006,440
5,10685,10899,214,-30.55431740722551,-3.738261818413278,6.975361151258666,6.867889995272907,662
6,11264,12379,1115,-16.63706318875886,-2.2104582448311874,7.5681918070426315,-8.331536997024465,365
7,15778,15925,147,-1.1841632851289177,-2.3444800250913147,63.20231299904868,42.000872244953015,3399
8,15947,16339,392,2.4319201794579044,-5.8350715623038525,-67.37477756960726,-64.26114501603259,22
9,16464,16974,510,-6.493314069687685,-0.12462923661701097,1.0995698842003785,0.6285921492590179,125
10,16993,17707,714,-12.890556074345,-3.673390999876318,15.905835699897912,12.692865773257019,19
11,19782,20258,476,-8.705868077645945,-9.070900478312211,46.17635986594158,67.68165791600664,2075
12,21807,22219,412,0.8398062007336762,-2.8298342055548886,-73.470759864416,-83.56496793831852,1549
13,25030,25397,367,0.707846645530779,-1.6096692275239235,-66.26266822085688,-74.62268427356716,2811
14,29748,31507,1759,-1.1808863313801368,-0.30859985007475643,14.645517906728712,-2.7529187551131264,4351
15,36376,36919,543,-2.4134085989132927,-0.42927680686140945,10.08580786123716,15.031142598860098,4869
16,37059,37194,135,-11.712824874733087,-3.3963715120263203,16.17059009204583,13.2251335423857,140
17,37443,38393,950,-5.204084611840059,-0.6684984815220218,7.319928581256178,6.920408010855318,249
18,46391,49870,3479,-10.601113660142772,-8.597210423141831,39.04109795887142,71.59826837012555,7998
19,50168,50915,747,-4.4377617207607045,-0.9909885531539402,12.5880875536718,-5.936026717456768,298
20,52550,52882,332,-2.6218490346500403,-4.39244594876952,59.167041550015334,-82.31231123507338,1635
21,55561,55904,343,0.9497641555211942,-6.116051116051764,-81.17301819937879,-72.91951867498105,2679
22,55951,56205,254,2.016801514111066,-1.5766658963064373,-38.01707009756199,-17.154615965119753,47
23,59236,59429,193,0.8524090258162573,-3.315990791623605,-75.58367287104245,67.68211684346424,3031
24,61284,61752,468,1.8655255718093429,-4.460325878729535,-67.30294269155401,-62.70112612098818,1855
25,67634,67993,359,-0.5854568098297506,-4.201764461916767,82.06770931787311,-73.23813443087812,5882
26,70999,71648,649,-1.2678819825720495,-4.52710688692936,74.3543260367162,60.70826897236747,3006
27,71726,72757,1031,3.6686914483947675,0.839664735917637,12.891426067152914,22.999377260101262,78
28,75239,75453,214,-0.49725319832960224,-2.5352454433047598,78.90309421621141,87.91958990718409,2482
29,79284,79643,359,1.0412113220552186,-0.9750567504563321,-43.12077643091477,-58.24290328014483,3831
30,80733,81059,326,1.881979962669135,-2.8991659286470366,-57.01057132799571,-69.97282130817958,1090
31,88329,88854,525,2.1064949843182035,-1.479056012022781,-35.07425765675658,-29.942526171562527,7270
32,91832,92198,366,-7.608920854724843,-5.540254469229211,36.05934311612519,29.54291054809497,2978
33,92301,93015,714,-3.267381174081436,-2.614095180221284,38.661842346442924,66.15902176192292,103
34,93078,94054,976,-16.370819644988828,-1.8101678296250157,6.309724728972199,2.2679323357693923,63
35,103462,105028,1566,2.5081646675525207,-2.146505320969524,-40.557148861231184,-14.372682997521757,9408
36,107035,109250,2215,2.3610697960496196,-4.7628228673168564,-63.63104764088615,-43.73985600967276,2007
37,109401,111607,2206,1.197541729995521,-1.6942700120319643,-54.74661564285384,-35.778332697190216,151
38,111702,113448,1746,4.6968970568306645,-2.5269139661026543,-28.28009397151931,-3.994292449536173,95
39,113547,115870,2323,3.999658440572091,-4.631635795331704,-49.18768427009232,-36.29265965421667,99
40,119675,120257,582,-10.623562095383093,-2.292721201796681,12.178490895757392,3.645362331318684,3805
41,121349,121673,324,-13.503194123443876,-8.280622099629042,31.518054847497734,13.710769659520627,1092
42,121722,121874,152,-28.825747419164117,-0.784422189710483,1.55877976231838,-6.268871705628199,49
43,122172,124396,2224,-15.733854812077553,-5.685753277719556,19.868368124847986,-0.1884839493775853,298
44,125114,125339,225,-23.823691825430444,-13.438203352067319,29.42599265054037,24.65598761380937,718
45,125628,125827,199,-28.668154892400736,-15.250916049899686,28.01213258504867,20.85384133821582,289
46,126052,126236,184,-19.615101368192555,-8.608587769271708,23.695494171044928,10.81780895047668,225
47,126407,126847,440,-22.38764767841198,-6.45852875003672,16.092123974533305,10.62340156568531,171
48,126964,127108,144,-8.074604753200006,-5.4753851644262,34.141174724791455,25.11923173714836,117
49,127192,127428,236,-41.70405358431471,-14.544345728838223,19.22628747381886,34.974311765125506,84
50,127568,127701,133,-26.977308873458938,-9.438742966148922,19.283773496131207,11.019780575313415,140
51,127865,129583,1718,-14.569126704851996,-3.4351159114517458,13.266922544654314,-49.75598052294432,164
52,133832,134131,299,-22.55196887819909,-22.078396522370824,44.39205787914708,39.67979086437503,4249
53,134498,134865,367,-25.805210366306113,-21.93821395658597,40.3694153067551,41.18495235526433,367
54,135009,138196,3187,-31.449120214031737,2.00844153041794,-3.6541295571664487,-20.608499467901293,144
55,138642,138923,281,-13.246066876450485,-10.453615823406693,38.280021610865965,18.149810649528508,446
56,138979,141397,2418,1.4996597491676056,-3.0477134437843603,-63.80001790478553,-14.743245974785946,56
57,141769,144363,2594,3.1620163525188474,-3.7752122811140225,-50.051363572798756,-41.61624275116241,372
58,148203,148531,328,-28.666432999035024,-0.15866913158453144,0.3171297503812225,2.267926669709132,3840
59,148846,148995,149,-28.359937018335444,0.39031142095392113,-0.7884991174389872,-22.711082256237113,315
60,149471,152819,3348,-2.5493688728399633,0.28629580706659397,-6.407507886053995,15.076138223015711,476
61,152973,154590,1617,0.3491477445889615,-3.0093568025332047,-83.3820906682821,-45.395236500203744,154
62,158574,160558,1984,2.0671462305471238,-0.7870470678793282,-20.84387477371959,21.577714485329707,3984
63,167298,168697,1399,0.46363265317080504,0.6905511419529375,56.12278206288929,44.42399824443421,6740
64,172255,174147,1892,-10.866715215997615,-2.994522849884092,15.4065217241389,-11.198008269909682,3558
65,174397,175541,1144,-7.926151306818966,0.2095280723848134,-1.5142631674052038,1.2052415146805275,250
66,175608,177558,1950,-3.4929317442061603,-3.5714662830047814,45.636927909252755,19.3271963822436,67
67,179608,182645,3037,-0.46410979130264707,0.17789966132454538,-20.972514783087586,25.06108113396238,2050
68,189509,189864,355,0.06711412753467982,-1.041748487097422,-86.31384212312572,71.9970765086786,6864
69,189915,190144,229,-14.899670888938886,-6.334483679162986,23.032408318808333,15.539295634368246,51
70,190225,191179,954,-12.453604648976338,-7.66246531582749,31.603192653053636,-76.90055459397317,81
71,191630,194190,2560,0.05350108486328509,-1.2754026079852565,-87.59794262711486,-81.76154261619625,451
72,201824,203669,1845,-1.0640132170122172,0.8974142144436996,-40.14508485519937,-24.875486017402046,7634
73,208341,211400,3059,-0.049463615349878864,-7.14459213002101,89.60333479238854,-50.455895451425505,4672
74,213333,216257,2924,-0.2962686635931533,-1.3807561520546159,77.88967785534385,-46.24286617917459,1933
75,225982,227814,1832,3.8030732385941803,-2.9857557961306185,-38.13511364434132,-12.621422678739775,9725
76,228417,230544,2127,1.825321416088002,-1.2539284441309633,-34.48762858948482,31.808191268964595,603
77,233757,234414,657,-4.627315167349465,-1.2001568967721141,14.540054106877,-39.68293525208282,3213
78,241863,242281,418,1.0685975819214661,-2.658475097771202,-68.10190281302815,-68.83520225063157,7449
79,250959,253349,2390,1.5079592396513846,-2.0361895622426687,-53.47712869760512,16.332759245573293,8678
80,257078,259482,2404,3.321487410437939,-3.3634141412749585,-45.35934608906407,-17.41420028836987,3729
81,263009,263733,724,2.5712908800744003,-1.9257115001666136,-36.83056455609877,-30.76817987719069,3527
