,category,start,length
0,B,600,600.0
1,P,600,2653.0
2,C1,3296,979.0
3,P,4324,2589.0
4,C2,7024,5876.0
5,P,12989,1862.0
6,C2,14934,3033.0
7,B,21704,3737.0
8,C2,21704,10033.0
9,P,32017,12841.0
10,C2,45108,5229.0
11,P,50495,1639.0
12,C2,52230,11401.0
13,B,66807,2955.0
14,C2,66807,8060.0
15,B,89705,14597.0
16,P,89705,3268.0
17,B,103937,10964.0
18,C2,103937,11612.0
19,B,116867,960.0
20,C1,116867,8817.0
21,P,125788,4264.0
22,C2,130174,7862.0
23,B,143418,5285.0
24,C2,143418,7488.0
25,C1,151112,5603.0
26,P,156796,6974.0
27,C1,164143,1995.0
28,C2,166262,10206.0
29,B,183143,6675.0
30,C2,183143,8217.0
31,P,191453,3690.0
32,C2,195269,14351.0
33,B,227742,17937.0
34,P,227742,11307.0
35,B,245109,6060.0
36,C2,245109,3906.0
37,B,255367,6352.0
38,C2,255367,14765.0
