,start,end,length,delta_x,delta_y,angle,interval
0,600,3253,2653,-30.66848059941016,-5.28719173221495,9.781540998914215,600
1,3296,4275,979,-5.62561130195715,-0.22999084368547074,2.341109200119601,43
2,4324,4596,272,-4.501573383328278,-3.873791387383463,40.713366148928486,49
3,4626,6943,2317,-15.286960981519172,-6.663646994631904,23.552578315188978,30
4,7024,12900,5876,-6.68786120650757,-9.477953671857321,54.79232985702403,81
5,12989,14851,1862,-5.157124777537646,-4.947052398508632,43.80895527443409,89
6,14934,17967,3033,-5.370888930057944,-6.128555488687027,48.76961181124695,83
7,21704,23406,1702,-3.3716232820306544,-4.906012319790875,55.501471947245996,3737
8,23477,27448,3971,-2.160933378365641,-5.851055737381216,69.72961845353461,71
9,27570,31930,4360,-2.7010099316209164,-7.408118603140053,69.96807692339974,122
10,32017,36116,4099,-5.8262697365944405,-5.681037223958413,44.27691437512675,87
11,36180,41449,5269,-9.073161331174106,-4.442217990793637,26.086360915848996,64
12,41549,45022,3473,-12.276980635238232,-5.483636241990013,24.068405139472294,100
13,45108,46642,1534,-4.092771188638736,-6.196753975987363,56.55642783041479,86
14,46736,50431,3695,-2.492128523973392,-5.290007243440698,64.77482112105662,94
15,50495,52134,1639,-3.7765713971837727,-2.4875374838682376,33.371943004082006,64
16,52230,57007,4777,-4.265646637446778,-6.526398256059721,56.83141394074338,96
17,57122,59870,2748,-2.814382843853849,-3.7552637844752894,53.1502718798722,115
18,59976,63852,3876,-6.192245089868166,-7.5965554932648445,50.81519688488419,106
19,66807,68612,1805,-1.930979308481696,-4.4227641980411505,66.41391336457684,2955
20,68735,71197,2462,-1.1358777648487006,-9.316539534514376,83.04877316838865,123
21,71315,75108,3793,-4.103475073844848,-5.610794729377474,53.819993450783095,118
22,89705,92973,3268,-9.979111018009561,-5.4650987130927575,28.707487161823693,14597
23,103937,104577,640,-0.4440184569229757,-5.910378581948478,85.70371262251797,10964
24,104842,112239,7397,-1.1878994422853282,-6.164333050004075,79.09250763752141,265
25,112332,115907,3575,-1.6982625557505031,-3.557465230075721,64.48112638057506,93
26,116867,125684,8817,1.1330490512315095,-3.906453298775972,-73.82543830886763,960
27,125788,130052,4264,-2.551715307264587,-1.2498400055327181,26.095791110341416,104
28,130174,133289,3115,-2.299855053215751,-3.5478182226854216,57.04688164497691,122
29,133386,138133,4747,-2.3468804116582476,-5.379883537040911,66.4316025459043,97
30,143418,148146,4728,-1.21424959120651,-9.072460233514377,82.37688838880129,5285
31,148254,151014,2760,-2.6271700543190804,-5.054352591916924,62.53532482362755,108
32,151112,156715,5603,0.19149880668234687,-10.237951025884442,-88.9284189729311,98
33,156796,162169,5373,-4.885168725422801,-4.605389030777459,43.31142122482711,81
34,162372,163973,1601,-3.7089205448841938,-1.8401587633426857,26.388033782848048,203
35,164143,166138,1995,0.8117199585303325,-4.954979273698058,-80.69649794582928,170
36,166262,176468,10206,-1.4924592287709544,-6.018397610113482,76.07258521563648,124
37,183143,191360,8217,-3.473728908623613,-9.773015203017195,70.432708518638,6675
38,191453,195143,3690,-4.912772363468733,-2.331395033513431,25.387048111152243,93
39,195269,200123,4854,-3.6347533934571885,-6.019957471462519,58.8770967299811,126
40,200218,205473,5255,-3.2526876963056424,-4.442672772956072,53.79040415231771,95
41,205563,209805,4242,-1.6495172948652055,-3.1678362081447915,62.49365155818607,90
42,227742,239049,11307,-14.121096830744165,-4.011745564617215,15.859630311300036,17937
43,245109,249015,3906,-1.8693702091830602,-2.1713709214614028,49.274279116806376,6060
44,255367,265390,10023,-3.768166000580152,-6.22346605067996,58.80605600046172,6352
45,265543,270285,4742,-1.1206115307892475,-2.9608083227027464,69.269266828003,153
