,start,end,length,delta_x,delta_y,angle,interval
0,2643,3496,853,-10.14435389652003,-3.436390851730792,18.713764637082146,2643
1,5128,5634,506,-11.63273197875641,-9.423657323256919,39.01087599974273,1632
2,5876,10615,4739,-18.11936242123312,-6.247238290360897,19.02329506314572,242
3,10783,14475,3692,-4.171722990298278,-8.733699937464081,64.46814601412645,168
4,14590,16169,1579,-1.450127851851576,-6.97435856568481,78.25425873269894,115
5,16253,18986,2733,-1.571113569579282,-5.221130945213389,73.25270164991599,84
6,19074,22602,3528,-1.32218423138508,-6.860445218835224,79.09137779922425,88
7,22754,26739,3985,-5.581636885760858,-3.608295444365467,32.880982866218,152
8,28129,31139,3010,6.940791097838016,-7.435226497698082,-46.96980139977931,1390
9,31284,35572,4288,2.507945798207615,-9.72057643725256,-75.53296674497696,145
10,35671,36344,673,1.068394447254363,-9.357080166514976,-83.48615887248654,99
11,36583,37741,1158,-0.5346390815683435,-4.9049233766850335,83.77929034161401,239
12,37843,38786,943,-1.5131761036741267,-8.074906559913643,79.38630059970961,102
13,38988,43496,4508,-1.0055108528402457,-7.746357206131435,82.6041118338765,202
14,43631,44861,1230,0.6531311255528038,-6.840144657138964,-84.54564957807025,135
15,44945,46801,1856,-0.8141701231830325,-3.2014559188100975,75.73144235349775,84
16,46867,48264,1397,1.384822263120725,-10.580630991886665,-82.54335523720087,66
17,48467,48955,488,0.5540853904277725,-7.9512786128806,-86.01378374410355,203
18,49092,50129,1037,-0.1963966507297954,-4.958457257925673,87.73179042733571,137
19,55651,57927,2276,1.350228268726724,-5.584982248256182,-76.40892768191476,5522
20,58078,60769,2691,-0.018431314142517863,-12.615892127157181,89.91629321578952,151
21,62668,64319,1651,2.1883765662847168,-10.57241489935798,-78.30553597480028,1899
22,67786,72224,4438,-3.22789394005639,-9.443806856785741,71.12956775269568,3467
23,72334,72478,144,-0.8883217600090347,-3.233968266214717,74.6405427390938,110
24,72513,75030,2517,-2.095429025740046,-4.836043775661793,66.5732018384896,35
25,75112,77631,2519,0.5198458397840255,-4.958405031150747,-84.01489847918214,82
26,77885,81903,4018,-1.1871664005134335,-7.869363692964768,81.42109172061011,254
27,81972,82924,952,2.331540014799401,-5.3010267930726656,-66.25876243771896,69
28,90437,96724,6287,-3.0873138940284974,-11.258241123047739,74.66493163363262,7513
29,96896,98160,1264,-3.3296027428552435,-2.3140527546988636,34.799055080860704,172
30,98597,101776,3179,6.094912207211365,-3.72351720253684,-31.421684438638167,437
31,105380,107064,1684,1.2737775171579955,-8.211117160884669,-81.1820826362909,3604
32,107184,110409,3225,-1.0345866111336477,-5.743394323734691,79.78853161759814,120
33,110541,112970,2429,0.4560597958813446,-9.244558066467022,-87.17572930535626,132
34,113042,113706,664,2.1744841107527293,-6.863897705706165,-72.42178830322413,72
35,113834,118797,4963,-1.321100389124922,-6.052779787076645,77.68752152194351,128
36,118883,119836,953,-2.75115320101483,-3.493387004624921,51.778444943440206,86
37,119922,121572,1650,-0.18494496098311686,-5.3241260797712044,88.01050793187054,86
38,121674,123389,1715,1.6020129132598697,-4.435057376816658,-70.13947821036399,102
39,123473,127650,4177,-0.34288817307648856,-10.758706995771092,88.17455783229374,84
40,128106,129529,1423,0.05040684136382367,-6.434455514091908,-89.55116012787681,456
41,129606,130844,1238,0.7152517090999027,-5.792561763310204,-82.96088399632495,77
42,158766,161903,3137,-0.3945881234071891,-7.735845357081772,87.08000143179808,27922
43,162037,162235,198,0.8639625930433539,-2.4426980626919743,-70.5217239011185,134
44,164469,166881,2412,1.1310827806616714,-6.410956867961602,-79.99429579231142,2234
45,169268,169976,708,-9.61990666277029,-3.259812493453751,18.71952231087093,2387
46,171324,174496,3172,-4.911530746045159,-12.019888998814722,67.77424143430915,1348
47,175009,179149,4140,-2.467220257850485,-8.936641625614385,74.56628206757622,513
